Observation,TextURN,Image,Comments
urn:cite:op:16.10001,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ο,"urn:cite:hmt:vaimg.VA207VN-0709@0.5024,0.2394,0.0092,0.0073",
urn:cite:op:16.10002,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ὐ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5123,0.2382,0.0099,0.0081",
urn:cite:op:16.10003,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@δ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5252,0.2324,0.0088,0.0145",
urn:cite:op:16.10004,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@έ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5348,0.2262,0.0092,0.0206",
urn:cite:op:16.10005,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@π,"urn:cite:hmt:vaimg.VA207VN-0709@0.5429,0.2399,0.0092,0.007",
urn:cite:op:16.10006,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ω,"urn:cite:hmt:vaimg.VA207VN-0709@0.5514,0.2399,0.0144,0.0059",
urn:cite:op:16.10007,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ἀ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5698,0.2327,0.017,0.0148",
urn:cite:op:16.10008,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@τ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5875,0.2394,0.0111,0.0081",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ρ,"urn:cite:hmt:vaimg.VA207VN-0709@0.5963,0.2396,0.0099,0.0114",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ε,"urn:cite:hmt:vaimg.VA207VN-0709@0.6074,0.2396,0.0074,0.0078",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ί,"urn:cite:hmt:vaimg.VA207VN-0709@0.614,0.2282,0.0085,0.0201",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@δ,"urn:cite:hmt:vaimg.VA207VN-0709@0.6251,0.2338,0.0144,0.014",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ε,"urn:cite:hmt:vaimg.VA207VN-0709@0.6395,0.2366,0.0096,0.0106",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ω,"urn:cite:hmt:vaimg.VA207VN-0709@0.6487,0.2405,0.0125,0.0059",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ὀ,"urn:cite:hmt:vaimg.VA207VN-0709@0.666,0.2329,0.0085,0.0137",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@π,"urn:cite:hmt:vaimg.VA207VN-0709@0.6774,0.2421,0.0129,0.0064",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ό,"urn:cite:hmt:vaimg.VA207VN-0709@0.6892,0.2419,0.0063,0.0059",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@σ,"urn:cite:hmt:vaimg.VA207VN-0709@0.6969,0.2413,0.0118,0.0067",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@ἔ,"urn:cite:hmt:vaimg.VA207VN-0709@0.7135,0.2318,0.0129,0.0176",
urn:cite:op:16.10000,urn:cts:greekLit:tlg0012.tlg001.msA:16.76@κ,"urn:cite:hmt:vaimg.VA207VN-0709@0.7264,0.2385,0.0118,0.0109",
