Text, Image, Folio
urn:cts:greekLit:tlg5026.msA.hmt:16.1000,"urn:cite:hmt:vaimg.VA207VN-0709@0.23,0.299,0.223,0.0744",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1001,"urn:cite:hmt:vaimg.VA207VN-0709@0.2412,0.3554,0.2167,0.124",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1002,"urn:cite:hmt:vaimg.VA207VN-0709@0.2382,0.4628,0.2226,0.1102",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1003,"urn:cite:hmt:vaimg.VA207VN-0709@0.2228,0.563,0.2322,0.0803",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1004,"urn:cite:hmt:vaimg.VA207VN-0709@0.2331,0.6372,0.2174,0.0747",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1005,"urn:cite:hmt:vaimg.VA207VN-0709@0.2427,0.7053,0.5476,0.0426",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1006,"urn:cite:hmt:vaimg.VA207VN-0709@0.2449,0.7241,0.695,0.046",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1007,"urn:cite:hmt:vaimg.VA207VN-0709@0.2434,0.7512,0.6928,0.0426",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1008,"urn:cite:hmt:vaimg.VA207VN-0709@0.2404,0.7734,0.6965,0.0327",urn:cite:hmt:msA.207r
urn:cts:greekLit:tlg5026.msA.hmt:16.1009,"urn:cite:hmt:vaimg.VA207VN-0709@0.2493,0.7861,0.6818,0.0343",urn:cite:hmt:msA.207r
