Text, Image
urn:cts:greekLit:tlg0012.tlg001.msA:16.101,"urn:cite:hmt:vaimg.VA208RN-0379@0.19,0.2081,0.373,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:16.102,"urn:cite:hmt:vaimg.VA208RN-0379@0.1948,0.2311,0.3603,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:16.103,"urn:cite:hmt:vaimg.VA208RN-0379@0.1976,0.2509,0.3603,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:16.104,"urn:cite:hmt:vaimg.VA208RN-0379@0.2007,0.2717,0.3703,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:16.105,"urn:cite:hmt:vaimg.VA208RN-0379@0.1992,0.2903,0.382,0.0231"
urn:cts:greekLit:tlg0012.tlg001.msA:16.106,"urn:cite:hmt:vaimg.VA208RN-0379@0.1992,0.3084,0.404,0.0231"
urn:cts:greekLit:tlg0012.tlg001.msA:16.107,"urn:cite:hmt:vaimg.VA208RN-0379@0.1976,0.3259,0.3996,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:16.108,"urn:cite:hmt:vaimg.VA208RN-0379@0.195,0.3481,0.3996,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.109,"urn:cite:hmt:vaimg.VA208RN-0379@0.1922,0.3652,0.3996,0.0239"
urn:cts:greekLit:tlg0012.tlg001.msA:16.110,"urn:cite:hmt:vaimg.VA208RN-0379@0.1914,0.3848,0.4118,0.0247"
urn:cts:greekLit:tlg0012.tlg001.msA:16.111,"urn:cite:hmt:vaimg.VA208RN-0379@0.1917,0.4054,0.3993,0.0212"
urn:cts:greekLit:tlg0012.tlg001.msA:16.112,"urn:cite:hmt:vaimg.VA208RN-0379@0.1953,0.4229,0.3688,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:16.113,"urn:cite:hmt:vaimg.VA208RN-0379@0.1917,0.441,0.3742,0.0239"
urn:cts:greekLit:tlg0012.tlg001.msA:16.114,"urn:cite:hmt:vaimg.VA208RN-0379@0.1917,0.4608,0.3592,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:16.115,"urn:cite:hmt:vaimg.VA208RN-0379@0.187,0.4783,0.3722,0.0264"
urn:cts:greekLit:tlg0012.tlg001.msA:16.116,"urn:cite:hmt:vaimg.VA208RN-0379@0.1862,0.4995,0.3789,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:16.117,"urn:cite:hmt:vaimg.VA208RN-0379@0.18,0.5158,0.3952,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:16.118,"urn:cite:hmt:vaimg.VA208RN-0379@0.1839,0.536,0.3776,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:16.119,"urn:cite:hmt:vaimg.VA208RN-0379@0.1862,0.5564,0.3776,0.0214"
urn:cts:greekLit:tlg0012.tlg001.msA:16.120,"urn:cite:hmt:vaimg.VA208RN-0379@0.1847,0.5741,0.3918,0.0251"
urn:cts:greekLit:tlg0012.tlg001.msA:16.121,"urn:cite:hmt:vaimg.VA208RN-0379@0.1857,0.5929,0.389,0.0251"
urn:cts:greekLit:tlg0012.tlg001.msA:16.122,"urn:cite:hmt:vaimg.VA208RN-0379@0.1808,0.6114,0.4343,0.0251"
urn:cts:greekLit:tlg0012.tlg001.msA:16.123,"urn:cite:hmt:vaimg.VA208RN-0379@0.1862,0.6316,0.4118,0.0309"
urn:cts:greekLit:tlg0012.tlg001.msA:16.124,"urn:cite:hmt:vaimg.VA208RN-0379@0.1824,0.651,0.4283,0.0247"
urn:cts:greekLit:tlg0012.tlg001.msA:16.125,"urn:cite:hmt:vaimg.VA208RN-0379@0.1868,0.6703,0.4011,0.0276"
