Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:16.26,"urn:cite:hmt:vaimg.VA206VN-0708@0.5,0.2216,0.419,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:16.27,"urn:cite:hmt:vaimg.VA206VN-0708@0.502,0.2502,0.419,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.28,"urn:cite:hmt:vaimg.VA206VN-0708@0.502,0.2697,0.419,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.29,"urn:cite:hmt:vaimg.VA206VN-0708@0.504,0.2855,0.419,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.30,"urn:cite:hmt:vaimg.VA206VN-0708@0.505,0.3058,0.419,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.31,"urn:cite:hmt:vaimg.VA206VN-0708@0.498,0.3238,0.397,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.32,"urn:cite:hmt:vaimg.VA206VN-0708@0.507,0.3441,0.406,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.33,"urn:cite:hmt:vaimg.VA206VN-0708@0.508,0.3621,0.415,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.34,"urn:cite:hmt:vaimg.VA206VN-0708@0.507,0.3809,0.415,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.35,"urn:cite:hmt:vaimg.VA206VN-0708@0.514,0.4012,0.405,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.36,"urn:cite:hmt:vaimg.VA206VN-0708@0.507,0.4207,0.405,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.37,"urn:cite:hmt:vaimg.VA206VN-0708@0.511,0.441,0.422,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.38,"urn:cite:hmt:vaimg.VA206VN-0708@0.511,0.4598,0.427,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.39,"urn:cite:hmt:vaimg.VA206VN-0708@0.516,0.4808,0.427,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.40,"urn:cite:hmt:vaimg.VA206VN-0708@0.51,0.4966,0.427,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.41,"urn:cite:hmt:vaimg.VA206VN-0708@0.51,0.5162,0.409,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.42,"urn:cite:hmt:vaimg.VA206VN-0708@0.508,0.5357,0.39,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:16.43,"urn:cite:hmt:vaimg.VA206VN-0708@0.512,0.556,0.393,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:16.44,"urn:cite:hmt:vaimg.VA206VN-0708@0.51,0.5733,0.405,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.45,"urn:cite:hmt:vaimg.VA206VN-0708@0.512,0.5898,0.405,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.46,"urn:cite:hmt:vaimg.VA206VN-0708@0.511,0.6116,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.47,"urn:cite:hmt:vaimg.VA206VN-0708@0.505,0.6296,0.425,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:16.48,"urn:cite:hmt:vaimg.VA206VN-0708@0.508,0.6484,0.432,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:16.49,"urn:cite:hmt:vaimg.VA206VN-0708@0.504,0.6649,0.363,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:16.50,"urn:cite:hmt:vaimg.VA206VN-0708@0.507,0.6829,0.415,0.0368"
