Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:16.A1,"urn:cite:hmt:vaimg.VA206RN-0377@0.601,0.441,0.021,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A2,"urn:cite:hmt:vaimg.VA206RN-0377@0.616,0.4403,0.013,0.015",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A3,"urn:cite:hmt:vaimg.VA206RN-0377@0.623,0.4388,0.015,0.015",urn:cite:hmt:msA.206r 
urn:cts:greekLit:tlg5026.msAext.hmt:16.A4,"urn:cite:hmt:vaimg.VA206RN-0377@0.63,0.4448,0.006,0.0075",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A5,"urn:cite:hmt:vaimg.VA206RN-0377@0.635,0.4455,0.01,0.0083",urn:cite:hmt:msA.206r 
urn:cts:greekLit:tlg5026.msAext.hmt:16.A6,"urn:cite:hmt:vaimg.VA206RN-0377@0.642,0.4425,0.01,0.0128",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A7," urn:cite:hmt:vaimg.VA206RN-0377@0.648,0.444,0.01,0.009",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A8,"urn:cite:hmt:vaimg.VA206RN-0377@0.655,0.4455,0.009,0.0075",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A9,"urn:cite:hmt:vaimg.VA206RN-0377@0.655,0.4455,0.009,0.0075",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A10,"urn:cite:hmt:vaimg.VA206RN-0377@0.664,0.4448,0.006,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A11,"urn:cite:hmt:vaimg.VA206RN-0377@0.668,0.4388,0.009,0.0143",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A12,"urn:cite:hmt:vaimg.VA206RN-0377@0.671,0.4455,0.009,0.0075",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A13,"urn:cite:hmt:vaimg.VA206RN-0377@0.679,0.444,0.007,0.0083",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A14,"urn:cite:hmt:vaimg.VA206RN-0377@0.692,0.4448,0.013,0.0083",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A15,"urn:cite:hmt:vaimg.VA206RN-0377@0.701,0.4388,0.01,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msAext.hmt:16.A16,"urn:cite:hmt:vaimg.VA206RN-0377@0.709,0.438,0.009,0.0143",urn:cite:hmt:msA.206r
