Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:16.A1,"urn:cite:hmt:vaimg.VA206RN-0377@0.169,0.1029,0.636,0.0323",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A2,"urn:cite:hmt:vaimg.VA206RN-0377@0.206,0.1097,0.007,0.009",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A3,"urn:cite:hmt:vaimg.VA206RN-0377@0.211,0.1097,0.007,0.0113",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A4,"urn:cite:hmt:vaimg.VA206RN-0377@0.214,0.1104,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A5,"urn:cite:hmt:vaimg.VA206RN-0377@0.221,0.1112,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A6,"urn:cite:hmt:vaimg.VA206RN-0377@0.23,0.1082,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A7,"urn:cite:hmt:vaimg.VA206RN-0377@0.237,0.1082,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A8,"urn:cite:hmt:vaimg.VA206RN-0377@0.244,0.1097,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A9,"urn:cite:hmt:vaimg.VA206RN-0377@0.251,0.1112,0.011,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A10,"urn:cite:hmt:vaimg.VA206RN-0377@0.257,0.1089,0.009,0.012",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A11,"urn:cite:hmt:vaimg.VA206RN-0377@0.262,0.1104,0.009,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A12,"urn:cite:hmt:vaimg.VA206RN-0377@0.268,0.1104,0.01,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A13,"urn:cite:hmt:vaimg.VA206RN-0377@0.276,0.1097,0.007,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A14,"urn:cite:hmt:vaimg.VA206RN-0377@0.279,0.1067,0.009,0.0135",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A15,"urn:cite:hmt:vaimg.VA206RN-0377@0.29,0.1119,0.011,0.0068",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A16,"urn:cite:hmt:vaimg.VA206RN-0377@0.29,0.1089,0.014,0.0128",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A17,"urn:cite:hmt:vaimg.VA206RN-0377@0.298,0.1097,0.014,0.0128",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A18,"urn:cite:hmt:vaimg.VA206RN-0377@0.306,0.1082,0.012,0.0128",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A19,"urn:cite:hmt:vaimg.VA206RN-0377@0.312,0.1082,0.012,0.0128",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A20,"urn:cite:hmt:vaimg.VA206RN-0377@0.319,0.1134,0.011,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A21,"urn:cite:hmt:vaimg.VA206RN-0377@0.325,0.1127,0.011,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A22,"urn:cite:hmt:vaimg.VA206RN-0377@0.335,0.1134,0.011,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A23,"urn:cite:hmt:vaimg.VA206RN-0377@0.341,0.1134,0.01,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A24,"urn:cite:hmt:vaimg.VA206RN-0377@0.346,0.1134,0.009,0.0098",urn:cite:hmt:msA.206r
urn:cts:greekLit:tlg5026.msA.hmt:16.A25,"urn:cite:hmt:vaimg.VA206RN-0377@0.353,0.1119,0.007,0.0098",urn:cite:hmt:msA.206r
