Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:16.1,"urn:cite:hmt:vaimg.VA206RN-0377@0.114,0.1826,0.445,0.0894"
urn:cts:greekLit:tlg0012.tlg001.msA:16.2,"urn:cite:hmt:vaimg.VA206RN-0377@0.201,0.2322,0.415,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.3,"urn:cite:hmt:vaimg.VA206RN-0377@0.193,0.2487,0.418,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:16.4,"urn:cite:hmt:vaimg.VA206RN-0377@0.197,0.266,0.415,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:16.5,"urn:cite:hmt:vaimg.VA206RN-0377@0.189,0.2817,0.434,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.6,"urn:cite:hmt:vaimg.VA206RN-0377@0.191,0.3028,0.434,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:16.7,"urn:cite:hmt:vaimg.VA206RN-0377@0.184,0.3231,0.434,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.8,"urn:cite:hmt:vaimg.VA206RN-0377@0.183,0.3411,0.434,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.9,"urn:cite:hmt:vaimg.VA206RN-0377@0.186,0.3621,0.434,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:16.10,"urn:cite:hmt:vaimg.VA206RN-0377@0.175,0.3794,0.434,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.11,"urn:cite:hmt:vaimg.VA206RN-0377@0.184,0.3982,0.442,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:16.12,"urn:cite:hmt:vaimg.VA206RN-0377@0.189,0.4185,0.412,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:16.13,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.14,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.15,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.16,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.17,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.18,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.19,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.20,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.21,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.22,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.23,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.24,""
urn:cts:greekLit:tlg0012.tlg001.msA:16.25,""
