Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:16.B1,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B2,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B3,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B4,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B5,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B6,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B7,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B8,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B9,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B10,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B11,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B12,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B13,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B14,"IMG",urn:cite:hmt:msA.206v
urn:cts:greekLit:tlg5026.msAext.hmt:16.B15,"IMG",urn:cite:hmt:msA.206v

urn:cts:greekLit:tlg5026.msAext.hmt:16.B16,"IMG",urn:cite:hmt:msA.X
