Observation,TextUrn,Image,Comments

urn:cite:op:16C.1,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ο,"urn:cite:hmt:vaimg.VA207RN-0378@0.199,0.2104,0.013,0.021",
urn:cite:op:16C.2,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@υ,"urn:cite:hmt:vaimg.VA207RN-0378@0.212,0.2036,0.012,0.0293",
urn:cite:op:16C.3,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@τ,"urn:cite:hmt:vaimg.VA207RN-0378@0.222,0.2126,0.013,0.0173",
urn:cite:op:16C.4,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ετ,"urn:cite:hmt:vaimg.VA207RN-0378@0.232,0.2149,0.018,0.0143",
urn:cite:op:16C.5,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ι,"urn:cite:hmt:vaimg.VA207RN-0378@0.246,0.2149,0.018,0.0143",
urn:cite:op:16C.6,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@μ,"urn:cite:hmt:vaimg.VA207RN-0378@0.261,0.2149,0.018,0.015",
urn:cite:op:16C.7,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ο(2),"urn:cite:hmt:vaimg.VA207RN-0378@0.276,0.2134,0.012,0.015",
urn:cite:op:16C.8,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ι(2),"urn:cite:hmt:vaimg.VA207RN-0378@0.284,0.2134,0.012,0.015",
urn:cite:op:16C.9,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@π,"urn:cite:hmt:vaimg.VA207RN-0378@0.293,0.2134,0.022,0.015",
urn:cite:op:16C.10,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@α,"urn:cite:hmt:vaimg.VA207RN-0378@0.31,0.2149,0.014,0.015",
urn:cite:op:16C.11,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ρ,"urn:cite:hmt:vaimg.VA207RN-0378@0.323,0.2171,0.014,0.015",
urn:cite:op:16C.12,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ζ,"urn:cite:hmt:vaimg.VA207RN-0378@0.337,0.2171,0.014,0.015",
urn:cite:op:16C.13,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ην,"urn:cite:hmt:vaimg.VA207RN-0378@0.352,0.2111,0.026,0.015",
urn:cite:op:16C.14,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ο,"urn:cite:hmt:vaimg.VA207RN-0378@0.375,0.2111,0.013,0.015",
urn:cite:op:16C.15,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ς,"urn:cite:hmt:vaimg.VA207RN-0378@0.387,0.2111,0.013,0.015",
urn:cite:op:16C.16,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@επ,"urn:cite:hmt:vaimg.VA207RN-0378@0.406,0.2111,0.025,0.015",
urn:cite:op:16C.17,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ε,"urn:cite:hmt:vaimg.VA207RN-0378@0.427,0.2111,0.015,0.015",
urn:cite:op:16C.18,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@φ,"urn:cite:hmt:vaimg.VA207RN-0378@0.442,0.2111,0.015,0.021",
urn:cite:op:16C.19,urn:cts:greekLit:tlg0012.tlg001.msA:16.51@ρ(2),"urn:cite:hmt:vaimg.VA207RN-0378@0.455,0.2111,0.012,0.021",
