Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:16.51,"urn:cite:hmt:vaimg.VA207RN-0378@0.195,0.2051,0.422,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.52,"urn:cite:hmt:vaimg.VA207RN-0378@0.191,0.2292,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.53,"urn:cite:hmt:vaimg.VA207RN-0378@0.191,0.2292,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.54,"urn:cite:hmt:vaimg.VA207RN-0378@0.191,0.2292,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.55,"urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.284,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.56,"urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.302,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.57,"urn:cite:hmt:vaimg.VA207RN-0378@0.19,0.3201,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.58,"urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.3403,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.59,"urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.3606,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.60,"urn:cite:hmt:vaimg.VA207RN-0378@0.191,0.3802,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.61,"urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.3974,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.62,"urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.4185,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.63,"urn:cite:hmt:vaimg.VA207RN-0378@0.192,0.435,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.64,"urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.4545,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.65,"urn:cite:hmt:vaimg.VA207RN-0378@0.19,0.4748,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.66,"urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.67,"urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.68,"urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.69,"urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.55,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.70,"urn:cite:hmt:vaimg.VA207RN-0378@0.183,0.5687,0.434,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.71,"urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.5898,0.449,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.72,"urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.5898,0.449,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.73,"urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.6251,0.449,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.74,"urn:cite:hmt:vaimg.VA207RN-0378@0.175,0.6424,0.449,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:16.75,"urn:cite:hmt:vaimg.VA207RN-0378@0.176,0.6627,0.449,0.0278"
